Abacinate, LL
Ad captandum, L
Add, L
Addendum, L
Adder, OE
Addict, L
Additament, L
Addition, F
Addititious, L
Additive, L
Addle, OE
Addle, OE
Addorsed, L
Address, OE
Adduce, L
Adducent, L
Adduct, L
Adductor, L
Adeem, L
Adempt, L
Ademption, L
Adeps, L
Adept, L
Adeption, L
Adequate, L
Adequation, L
Adfected, L
Adhere, L
Adherent, L
Adhesion, L
Adhibit, L
Adhibition, L
Ad hominem, L
Adhort, L
Adhortation, L
Adiantum, L
Adieu, OE
Ad infinitum, L
Ad interim, L
Adepescent, L
Adipic, L
Adipocere, L
Adipose, L
Adit, L
Adjacent, L
Adject, L
Adjection, L
Adjectitious, L
Adjective, L
Adjoin, OE
Adjourn, OE
Adjudge, OE
Adjudicate, L
Adjudication, L
Adjugate, L
Adjument, L
Adjunct, L
Adjunction, L
Adjunctive, L
Adjuration, L
Adjuratory, L
Adjure, L
Adjutant, L
Adjute, F
Adjutor, L
Adjutory, L
Adjutrix, L
Adjuvant, L
Adlegation, L
Admensuration, LL
Adminicle, L
Administer, OE
Administrant, F
Administrate, L
Administration, OE
Administrative, L
Administrator, L
Admirability, L
Admirable, L
Admiral, OE
Admiralty, F
Admiration, F
Admire, F
Admissible, F
Admission, L
Admit, OE
Admittatur, L
Admixtion, L
Admixture, L
Admonish, OE
Admonition, OE
Admonitor, L
Admonitory, LL
Admonitrix, L
Admortization, LL
Admove, L
Adnascent, L
Adnate, L
Adnominal, L
Adnubilated, L
Ado, OE
Adolescent, L
Adonean, L
Adonic, F
Adonis, L
Adopt, L
Adoption, L
Adoptive, L
Adorable, L
Adoration, L
Adore, OE
Adorn, OE
Adosculation, L
Adown, OE
Adpress, L
Adragant, F
Adread, AS
Adrian, L
Adriatic, L
Adrogation, L
Adroit, F
Adscititious, L
Adscript, L
Adscriptive, L
Adsignify, L
Adulate, L
Adulation, F
Adulator, L
Adulatory, L
Adult, L
Adulter, L
Adulterant, L
Adulterate, L
Adulteration, L
Adulterator, L
Adulterine, L
Adultery, L
Adumbrant, L
Adumbrate, L
Adumbration, L
Adunation, L
Aduncity, L
Aduncous, L
Adure, L
Adust, L
Adustion, L
Ad valorem, L
Advance, OE
Advancement, OE
Advantage, OE
Advantage, F
Advantageous, F
Advene, L
Advenient, L
Advent, L
Adventitious, L
Adventure, OE
Adventure, OE
Adventurous, OE
Adverb, L
Adverbial, L
Adversaria, L
Adversary, OE
Adversary, OE
Adversary, OE
Adversative, OE
Adversative, L
Adversative, OE
Adverse, OE
Adverse, OE
Adverse, OE
Adverse, L
Adversely, OE
Adverseness, OE
Adversifoliate, Adversifolious, OE
Adversifoliate, Adversifolious, L
Adversion, OE
Adversion, L
Adversity, OE
Adversity, OE
Advert, OE
Advert, L
Advertence, Advertency, OE
Advertent, OE
Advertent, L
Advertise, OE
Advertise, F
Advertisement, OE
Advertisement, F
Advertiser, OE
Advice, OE
Advice, OE
Advisability, OE
Advisable, OE
Advisable-ness, OE
Advisably, OE
Advise, OE
Advise, OE
Advise, OE
Advisedly, OE
Advisedness, OE
Advisement, OE
Advisement, OE
Adviser, OE
Advisership, OE
Adviso, OE
Advisory, OE
Advocacy, OE
Advocate, OE
Advocate, OE
Advocate, OE
Advocate, OE
Advocateship, OE
Advocation, OE
Advocation, L
Advocatory, OE
Advoke, OE
Advoke, L
Advolution, OE
Advolution, L
Advoutrer, OE
Advoutress, OE
Advoutry, Advowtry, OE
Advoutry, Advowtry, OE
Advowee, OE
Advowee, OE
Advowson, OE
Advowson, OE
Advoyer, OE
Adward, OE
Adynamia, OE
Adynamic, OE
Adynamy, OE
Adytum, OE
Adytum, L
Adz, Adze, OE
Adz, Adze, OE
Adz, OE
\'92 or Ae, OE
\'92cidium, OE
\'92dile, OE
\'92dile, L
\'92dileship, OE
\'92gean, OE
\'92gean, L
\'92gicrania, OE
\'92gilops, OE
\'92gilops, L
\'92gis, OE
\'92gis, L
\'92gophony, OE
\'92grotat, OE
\'92grotat, L
\'92neid, OE
\'92neid, L
A\'89neous, OE
A\'89neous, L
\'92olian, OE
\'92olian, L
\'92olic, L
\'92olipile, \'92olipyle, L
\'92olus, L
A\'89rial, L
Aerie, OE
A\'89riferous, L
A\'89riform, L
A\'89rify, L
A\'89ronaut, F
\'92rose, L
A\'89rostat, F
\'92ruginous, L
\'92rugo, L
\'92sculapius, L
\'92sopian, Esopian, L
\'92sopic, Esopic, L
\'92stival, L
\'92stivate, L
\'92stuous, L
\'92tiology, L
A\'89tites, L
Afeard, OE
Afer, L
Affability, L
Affable, F
Affabrous, L
Affair, OE
Affamish, F
Affatuate, L
Affear, OE
Affect, L
Affect, L
Affectation, L
Affection, F
Affectuous, L
Afferent, L
Affiance, OE
Affidavit, LL
Affiliate, LL
Affiliation, F
Affinal, L
Affine, F
Affirm, OE
Affirmant, L
Affirmation, L
Affirmative, L
Affix, LL
Affix, L
Affixion, L
Afflation, L
Afflatus, L
Afflict, L
Afflict, L
Affliction, F
Affluence, F
Afflux, L
Afford, OE
Afforest, LL
Affranchise, F
Affray, OE
Affray, OE
Affriction, L
Affront\'82, F
Affuse, L
Afore, OE
A fortiori, L
Afraid, OE
African, L
Aft, AS
After, AS
Aftermost, OE
Afterwards, Afterward, AS
Again, OE
Against, OE
Agami, F
Agaric, L
Agate, F
Agave, L
Agendum, L
Agent, L
Aggeneration, L
Agger, L
Aggerate, L
Aggeration, L
Aggest, L
Agglomerate, L
Agglutinant, L
Agglutinate, L
Aggrandize, F
Aggravate, L
Aggravation, LL
Aggressor, L
Aggrieve, OE
Aggroup, F
Aghast, OE
Agile, F
Agility, F
Agiotage, F
Agistator, LL
Agitable, L
Agitate, L
Agitation, L
Agitator, L
Aglet, Aiglet, F
Agminal, L
Agminate, Agminated, L
Agnail, AS
Agnate, L
Agnation, L
Agnition, L
Agnomen, L
Agnomination, L
Agnus, L
Agnus Dei, L
Ago, OE
Agonize, F
Agouti, Agouty, F
Agraffe, F
Agrarian, L
Agre, Agree, F
Agree, F
Agreeable, F
Agrestic, L
Agricolation, L
Agricultor, L
Agriculture, L
Agrimony, OE
Agrise, AS
Agrostis, L
Ague, OE
Ah, OE
Ahoy, OE
Aid, F
Aid, F
Aid-de-camp, F
Aigre, F
Aigremore, F
Aigret, Aigrette, F
Aiguille, F
Aiguillette, F
Ail, OE
Ailette, F
Aim, OE
Air, OE
Ait, AS
Ajar, OE
Ajutage, F
Al-, AS
Ala, L
Alabaster, L
Alacrify, L
Alacrious, L
Alacrity, L
Alamode, F
Alamort, F
Alar, L
Alarm, F
Alarum, OE
Alary, L
Alas, OE
Alate, Alated, L
Alatern, Alaternus, L
Alation, F
Alb, OE
Alban, L
Albata, L
Albedo, L
Albeit, OE
Albescent, L
Albicant, L
Albicore, F
Albite, L
Albolith, L
Albugo, L
Album, L
Albumen, L
Album Gr\'91cum, L
Albuminiferous, L
Albuminimeter, L
Albuminiparous, L
Albuminoid, L
Alburn, L
Alburnum, L
Alcaic, L
Alcedo, L
Alcove, F
Alcyones, L
Alder, OE
Alderman, AS
Ale, AS
Aleatory, L
Aleberry, OE
Aleger, F
Alegge, OE
Alembic, F
Alert, F
Alevin, F
Alexanders, Alisanders, OE
Alexandrine, F
Alfet, LL
Alga, L
Algarot, Algaroth, F
Algebra, LL
Algid, L
Algific, L
Algoid, L
Algology, L
Algor, L
Algorism, Algorithm, OE
Algous, L
Alias, L
Alibi, L
Alible, L
Alidade, LL
Alien, F
Alienate, L
Alienation, F
Alienist, F
Aliethmoid, Aliethmoidal, L
Aliferous, L
Aliform, L
Aligerous, L
Alight, OE
Align, F
Alignment, F
Alike, AS
Alike, AS
Aliment, L
Alimentary, L
Alimony, L
Alinasal, L
Aliped, L
Aliquant, L
Aliquot, L
Aliseptal, L
Alisphenoid, Alisphenoidal, L
Alitrunk, L
Aliunde, L
Alive, OE
Alizarin, F
Alkahest, LL
Alkali, F
All, OE
Allatrate, L
Allay, OE
Allect, L
Allectation, L
Allective, LL
Allegation, L
Allege, OE
Allegiance, OE
Allegoric, Allegorical, F
Allegory, L
Allegresse, F
Alleluia, Alleluiah, L
Allemande, F
Allerion, F
Alleviate, LL
Alleviation, LL
Alley, OE
Allhallowtide, AS
Alliance, OE
Allicient, L
Alligate, L
Alligation, L
Allineate, L
Allision, L
Alliteration, L
Allium, L
Allocate, LL
Allocation, LL
Allocatur, LL
Allocution, L
Allodial, LL
Allodium, LL
Allonge, F
Allonge, F
Allonym, F
Alloquy, L
Allow, OE
Allowable, F
Alloy, OE
Alloy, F
Alloyage, F
Allude, L
Allumette, F
Allure, F
Allusion, L
Alluvion, F
Alluvious, L
Alluvium, L
Ally, OE
Allyl, L
Almadia, Almadie, F
Almagest, F
Alma Mater, L
Almanac, LL
Almandine, LL
Almighty, AS
Almond, OE
Almoner, OE
Almost, AS
Alms, OE
Almucantar, F
Aloe, L
Alogian, LL
Alogy, L
Along, OE
Along, AS
Alopecia, Alopecy, L
Alose, OE
Alose, F
Alp, L
Alpestrine, L
Alpha, L
Alphabet, L
Alpigene, L
Alpine, L
Alpist, Alpia, F
Altar, OE
Alter, F
Alterant, LL
Alterative, L
Altercate, L
Altercation, F
Alterity, F
Altern, L
Alternant, L
Alternate, L
Alternate, L
Alternation, L
Alternity, LL
Altiloquent, L
Altimeter, LL
Altiscope, L
Altisonant, L
Altisonous, L
Altitude, L
Altivolant, L
Altogether, OE
Altometer, L
Altrices, L
Altruism, F
Aludel, F
Alum, OE
Alumen, L
Alumina, L
Alumine, F
Aluminiferous, L
Aluminiform, L
Aluminium, L
Aluminous, L
Alumna, L
Alumnus, L
Alunogen, F
Alutaceous, L
Alveary, L
Alveated, L
Alveolar, L
Alveolate, L
Alveoliform, L
Alveolus, L
Alveus, L
Alvine, L
Am, AS
Amability, L
Amadou, F
Amain, F
Amalgam, F
Amandine, F
Amanuensis, L
Amaracus, L
Amaranth, L
Amarine, L
Amaritude, L
Amaryllis, L
Amass, F
Amassette, F
Amateur, F
Amative, L
Amatorious, L
Amazon, L
Amb-, Ambi-, L
Ambages, L
Ambagious, L
Ambassade, Embassade, F
Amber, OE
Ambergris, F
Ambidexter, LL
Ambient, L
Ambigenous, L
Ambigu, F
Ambiguity, L
Ambiguous, L
Ambilevous, L
Ambiparous, L
Ambit, L
Ambition, F
Ambitious, L
Ambitus, L
Amble, F
Ambo, LL
Ambrosia, L
Ambrosiac, L
Ambrosial, L
Ambrosin, LL
Ambry, OE
Ambulacrum, L
Ambulance, F
Ambulant, L
Ambulate, L
Ambulation, L
Ambulatory, L
Ambuscade, F
Ambush, F
Ambush, OE
Ambustion, L
Amel, OE
Amel, OE
Ameliorate, L
Amen, L
Amenable, F
Amend, F
Amende, F
Amendment, F
Amends, F
Amenity, F
A mensa et thoro, L
Ament, L
Amentaceous, LL
Amentia, L
Amentiferous, L
Amentiform, L
Amerciament, LL
Amethyst, F
Amethystine, L
Amia, L
Amiable, F
Amianthus, L
Amic, L
Amicable, L
Amice, OE
Amice, OE
Amidst, Amid, OE
Amissible, L
Amission, L
Amit, L
Amity, F
Amma, LL
Ammodyte, L
Ammoniac, Ammoniacal, L
Ammoniac  [or] Gum ammoniac, L
Ammonite, L
Ammunition, F
Amnesty, L
Amnicolist, L
Amnigenous, L
Am\'d2b\'91um, L
Amolition, L
Amomum, L
Among, Amongst, OE
Amorist, L
Amortization, LL
Amortize, OE
Amortizement, F
Amotion, L
Amotus, L
Amour, F
Amour propre, F
Amove, L
Amove, OE
Ampelite, L
Amphibology, L
Amphibolous, L
Amphiboly, L
Amphibranch, L
Amphictyons, L
Amphigory, F
Amphimacer, L
Amphiprostyle, L
Amphisb\'91na, L
Amphitheater, Amphitheatre, L
Amphitheatral, L
Amphitheatric, Amphitheatrical, L
Amphora, L
Amphoral, L
Ample, F
Amplectant, L
Amplexation, L
Amplexicaul, L
Ampliate, L
Ampliation, L
Amplificate, L
Amplification, L
Amplify, F
Amplitude, L
Ampul, AS
Ampulla, L
Ampullaceous, L
Amputate, L
Amputation, L
Amulet, L
Amurcous, LL
Amuse, F
Amusette, F
Amy, F
Amygdalate, L
Amygdaliferous, L
Amygdaline, L
Amyl, L
Amylaceous, L
Amylobacter, L
Amyloid, Amyloidal, L
An, AS
Anabaptism, L
Anabaptist, LL
Anacreontic, L
Anadem, L
Anadiplosis, L
Anaglyptic, L
Anagram, F
Analemma, L
Analogous, L
Analogue, F
Analogy, L
Analyst, F
Anapest, L
Anapestic, L
Anaphora, L
Anaplerotic, L
Anas, L
Anathema, L
Anathematization, LL
Anathematize, L
Anatiferous, L
Anatine, L
Anatocism, L
Anatomic, Anatomical, L
Anatomy, F
Anatron, F
Anbur-y, Ambury, AS
ance, F
Ancestor, OE
Anchor, OE
Anchor, OE
Anchoret, Anchorite, F
Anchusin, L
Ancient, OE
Ancienty, F
Ancile, L
Ancillary, L
Ancipital, Ancipitous, L
Ancome, AS
Ancon, L
-ancy, L
And, AS
Andabatism, L
Andiron, OE
Androgynous, Androgynal, L
Andromeda, L
Andron, L
Anecdote, F
Anele, OE
Anemone, L
Anenst, Anent, OE
Anet, F
Anethol, L
Anetic, L
Anfractuous, L
Angariation, LL
Angel, AS
Angelic, Angelical, L
Angelology, L
Angelot, F
Angelus, L
Anger, OE
Angevine, F
Angina, L
Angle, F
Angle, AS
Angles, L
Anglify, L
Anglo-Saxon, L
Angor, L
Anguiform, L
Anguilliform, L
Anguine, L
Anguineous, L
Anguish, OE
Angular, L
Angulate, Angulated, L
Angulo-dentate, L
Angulometer, L
Angulous, L
Angust, L
Angustate, L
Angustifoliate, Angustifolious, L
Anhang, AS
Anharmonic, F
Anhelation, L
Anhelous, L
Anil, F
Anile, L
Anility, L
Animadversion, L
Animadvert, L
Animal, L
Animastic, L
Animate, L
Animate, L
Animation, L
Animator, L
Anim\'82, F
Anim\'82, F
Animose, Animous, L
Animosity, F
Animus, L
Animus, L
Anise, OE
Anisette, F
Ankle, OE
Ann, Annat, LL
Annals, L
Anneal, OE
Annectent, L
Annelid, Annelidan, F
Anneloid, F
Annex, F
Annex, F
Annexion, L
Annihilate, L
Anniversary, L
Anniverse, L
Annodated, L
Anno Domini, L
Annomination, L
Annotate, L
Annotation, L
Annotator, L
Annotine, L
Annotinous, L
Annoy, OE
Annual, OE
Annuent, L
Annuity, LL
Annul, F
Annular, L
Annulary, L
Annulate, Annulated, L
Annulose, L
Annulus, L
Annumerate, L
Annumeration, L
Annunciate, L
Annunciation, L
Annunciator, L
Anodyne, L
Anodyne, L
Anomaliped, Anomalipede, L
Anomaloflorous, L
Anomalous, L
Anomaly, L
Anon, OE
Anonym, F
Anormal, F
Ansa, L
Ansated, L
Anseres, L
Anserine, L
Anserous, L
Answer, OE
Answer, OE
-ant, F
Ant, OE
Anta, L
Antagonist, L
Antarctic, OE
Antecede, L
Antecedent, L
Antecessor, L
Antecursor, L
Antefix, L
Antelucan, L
Antemeridian, L
Antemural, L
Antenicene, L
Antenna, L
Antependium, LL
Antepenult,  Antepenultima, L
Antepone, L
Anterior, L
Anteriority, LL
Antevert, L
Anthem, OE
Anther, F
Anthracite, L
Anthrax, L
Anthropophagi, L
Anti\'91, L
Antibacchius, L
Antichrist, L
Anticipant, L
Anticipate, L
Anticipation, L
Anticous, L
Antidote, L
Antimetabole, L
Antimony, LL
Antinomy, L
Antipathy, L
Antiphon, LL
Antiphonary, LL
Antiphoner, F
Antiphrasis, L
Antipodes, L
Antiptosis, L
Antiquary, L
Antiquate, L
Antiquation, L
Antique, F
Antique, F
Antiquity, L
Antiscians, Antiscii, L
Antispast, L
Antistrophe, L
Antithesis, L
Antithet, L
Antler, OE
Antlia, L
Antonomasia, L
Antre, F
Antrum, L
Antrustion, F
'd8Anubis, L
Anus, L
Anvil, OE
Anxietude, L
Anxiety, L
Anxiety, L
Anxious, L
Anxious, L
Anxiously, L
Anxiousness, L
Any, L
Any, OE
Any, L
Anybody, L
Anyhow, L
Anyone, L
Anything, L
Anything, L
Anythingarian, L
Anyway, Anyways, L
Anywhere, L
Anywhither, L
Anywise, L
Aonian, L
Aorist, L
Aoristic, L
Aorta, L
Aortic, L
Aortitis, L
Aoudad, L
Apace, L
Apaches, L
Apagoge, L
Apagogic, Apagogical, L
Apaid, L
Apair, L
Apalachian, L
Apanage, L
Apanthropy, L
Apar, Apara, L
Aparejo, L
Aparithmesis, L
Apart, L
Apart, F
Apartment, L
Apartment, F
Apartness, L
Apastron, L
Apathetic, Apathetical, L
Apathetically, L
Apathist, L
Apathistical, L
Apathy, L
Apathy, L
Apatite, L
Apaum\'82, L
Ape, L
Ape, AS
Ape, L
Apeak, L
Apehood, L
Apellous, L
Apennine, L
Apennine, L
Apepsy, L
Aper, L
Aperea, L
Aperient, L
Aperient, L
Aperitive, L
Apert, L
Apert, L
Apertion, L
Apertion, L
Apertly, L
Apertness, L
Aperture, L
Aperture, L
Apery, L
Apex, L
Aph\'91resis, L
Apheresis, L
Aphorism, F
Aphth\'91, L
Apiary, L
Apical, L
Apician, L
Apiculture, L
Apiol, L
Apiologist, L
Apis, L
Aplomb, F
Aplustre, L
Apocalypse, L
Apocopate, LL
Apocope, L
Apocrisiary, Apocrisiarius, L
Apocrypha, L
Apodeictic, Apodictic, Apodeictical, Apodictical, L
Apodixis, L
Apodosis, L
Apodyterium, L
Apollinarian, L
Apollo, L
Apologue, L
Apology, L
Apoplectic  Apoplectical, L
Apoplexy, OE
Aporia, L
Aposiopesis, L
Apostasy, OE
Apostate, L
Apostate, L
Apostatic, L
Apostatize, LL
Apostemation, LL
Aposteme, L
A posteriori, L
Apostil, Apostille, F
Apostle, OE
Apostolate, L
Apostolic, Apostolical, L
Apostolic, L
Apotactite, LL
Apothecary, OE
Apotheosis, L
Apozem, L
Appanage, F
Appanagist, F
Apparatus, L
Apparel, OE
Apparent, F
Apparition, F
Apparitor, L
Appaum\'82, F
Appeach, OE
Appeal, OE
Appeal, OE
Appear, OE
Appearance, F
Appease, OE
Appellant, L
Appellate, L
Appellation, L
Appellative, L
Appellative, L
Appellatory, L
Appellee, F
Append, L
Appendance, F
Appendant, F
Appendicle, L
Appendix, L
Apperceive, F
Appertain, OE
Appete, L
Appetency, L
Appetent, L
Appetible, L
Appetite, OE
Appetition, L
Appian, L
Applaud, L
Applause, L
Applausive, LL
Apple, OE
Applicant, L
Applicate, L
Application, L
Appliqu\'82, F
Appoint, OE
Appointee, F
Appose, F
Apposite, L
Apposition, L
Apprecation, L
Appreciate, L
Apprehend, L
Apprehensible, L
Apprehension, L
Apprentice, OE
Apprenticeage, F
Apprise, F
Approach, OE
Approbate, L
Approbation, L
Approbator, L
Appropinquate, L
Appropinquation, L
Appropre, OE
Appropriate, L
Appropriation, L
Approve, OE
Approximate, L
Appui, F
Appui, F
Appulse, L
Appurtenant, F
Apricate, L
Apricot, OE
April, L
A priori, L
Apron, OE
Aprosos, F
Apsis, L
Apt, F
Apt, L
Aptable, LL
Aptate, L
Aptitude, F
Aptote, L
Aqua, L
Aqua, L
Aqua fortis, L
Aquapuncture, L
Aquarelle, F
Aquarian, L
Aquarium, L
Aquarius, L
Aquatic, L
Aquatile, L
Aqueduct, F
Aquiferous, L
Aquiform, L
Aquila, L
Aquila, L
Aquiline, L
Aquilon, L
Aquiparous, L
Aquose, L
Aquosity, LL
Ara, L
Arabesque, F
Arabic, L
Arable, F
Arace, OE
Araceous, L
Ar\'91ostyle, L
Aram\'91an, Aramean, L
Araneiform, L
Araneose, L
Araneous, L
Aration, L
Aratory, LL
Arbiter, L
Arbitrage, F
Arbitral, L
Arbitrament, LL
Arbitrarious, L
Arbitrary, L
Arbitrate, L
Arbitration, F
Arbitrator, L
Arbitratrix, L
Arbor, OE
Arbor, L
Arborary, L
Arborator, L
Arbor Dian\'91, L
Arboreous, L
Arborescent, L
Arboretum, L
Arboricole, L
Arboriculture, L
Arborist, F
Arbor vit\'91, L
Arbuscle, L
Arbustive, L
Arbutus, Arbute, L
Arc, F
Arcade, F
Arcadia, L
Arcadian, Arcadic, L
Arcane, L
Arcanum, L
Arcboutant, F
Arch, F
Arch-, L
Archangel, L
Archbishop, AS
Archbishopric, AS
Archdeacon, AS
Archery, OE
Archetype, L
Archeus, LL
Archi-, L
Archiater, L
Archidiaconal, L
Archilochian, L
Archimandrite, L
Archimedean, L
Architect, L
Architectonic, Architectonical, L
Architecture, L
Architrave, F
Archive, F
Archivist, F
Archivolt, F
Archon, L
Arciform, L
Arcograph, L
Arctation, L
Arctic, OE
Arcturus, L
Arcuate, Arcuated, L
Arcuation, L
Arcubalister, L
Ardassine, F
Ardent, OE
Ardor, L
Arduous, L
Are, AS
Are, F
Area, L
Aread, Areed, OE
Arear, AS
Arefaction, L
Arefy, L
Arenaceous, L
Arenarious, L
Arenation, L
Arendator, LL
Arenicolite, L
Arenilitic, L
Arenose, L
Arenulous, L
Areola, L
Areolate, Areolated, L
Areopagite, L
Areopagitic, L
Areopagus, L
Aret, OE
Argent, F
Argentate, L
Argentation, L
Argentiferous, L
Argentite, L
Argentry, F
Argil, F
Argillaceous, L
Argilliferous, L
Argillous, L
Argive, L
Argo, L
Argolic, L
Argonaut, L
Argonautic, L
Argot, F
Argue, OE
Argument, F
Argument, L
Argumentable, L
Argumental, L
Argumentation, L
Argus, L
Argutation, L
Argute, L
Arian, L
Arid, L
Aridity, L
Aries, L
Arietate, L
Arietation, L
Ariolation, L
Arise, AS
Arista, L
Aristate, L
Aristocrat, F
Arithmetic, OE
Ark, OE
Arm, AS
Arm, OE
Armament, L
Armamentary, L
Armature, L
Armet, F
Armiferous, L
Armiger, L
Armil, L
Armilla, L
Armillary, LL
Armipotence, L
Armipotent, L
Armisonant, Armisonous, L
Armistice, F
Armor, OE
Armorer, OE
Armorial, F
Armoric, Armorican, L
Armorist, F
Arms, OE
Armure, F
Army, F
Aroma, L
Aromatic, Aromatical, L
Aromatize, L
Arpent, Arpen, F
Arquebus, Arquebuse, F
Arquebusade, F
Arquebusier, F
Arraign, OE
Arrange, OE
Arrant, OE
Array, OE
Array, OE
Arrear, OE
Arrearage, F
Arrect, Arrected, L
Arrectary, L
Arreption, L
Arreptitious, L
Arrest, OE
Arrest, OE
